chlorides,total_sulfur_dioxide,density,pH,alcohol,high_quality
0.045,170.0,1.001,3.0,8.8,0
0.049,132.0,0.994,3.3,9.5,0
0.05,97.0,0.9951,3.26,10.1,0
0.058,186.0,0.9956,3.19,9.9,0
0.058,186.0,0.9956,3.19,9.9,0
0.05,97.0,0.9951,3.26,10.1,0
0.045,136.0,0.9949,3.18,9.6,0
0.045,170.0,1.001,3.0,8.8,0
0.049,132.0,0.994,3.3,9.5,0
0.044,129.0,0.9938,3.22,11.0,0
0.033,63.0,0.9908,2.99,12.0,0
0.035,109.0,0.9947,3.14,9.7,0
0.04,75.0,0.992,3.18,10.8,0
0.044,143.0,0.9912,3.54,12.4,1
0.04,172.0,1.0002,2.98,9.7,0
0.032,112.0,0.9914,3.25,11.4,1
0.046,99.0,0.9928,3.24,9.6,0
0.029,75.0,0.9892,3.33,12.8,1
0.033,171.0,0.9917,3.12,11.3,0
0.044,133.0,0.9955,3.22,9.5,0
0.029,75.0,0.9892,3.33,12.8,1
0.038,102.0,0.9912,3.17,11.0,1
0.049,122.0,0.993,3.47,10.5,1
0.074,168.0,0.9937,3.05,9.3,0
0.052,142.0,0.9951,3.42,10.0,0
0.046,245.0,0.9955,3.25,10.4,0
0.052,146.0,0.993,3.45,10.0,0
0.051,141.0,0.9961,3.38,10.5,0
0.047,132.0,0.9914,3.19,11.6,0
0.033,114.0,0.9906,3.1,12.3,1
0.044,142.0,0.9974,3.2,10.0,0
0.042,47.0,0.9934,3.47,10.2,0
0.05,100.0,0.992,3.19,10.8,0
0.045,117.0,0.9939,3.42,9.0,0
0.044,179.0,0.9962,3.37,10.2,0
0.08,123.0,0.9905,3.19,12.8,0
0.051,149.0,0.9934,3.24,10.0,0
0.053,138.0,0.9906,3.13,11.2,0
0.057,149.0,0.9999,3.21,8.6,0
0.057,149.0,0.9999,3.21,8.6,0
0.172,158.0,0.9937,3.11,9.4,0
0.173,157.0,0.9937,3.1,9.4,0
0.069,160.0,0.9954,3.13,9.8,0
0.057,152.0,0.9934,3.22,9.5,0
0.06,154.0,0.9934,3.24,9.5,0
0.058,167.0,0.9931,3.16,10.0,1
0.063,206.0,0.994,3.27,9.8,0
0.066,207.0,0.9939,3.25,9.8,0
0.069,160.0,0.9954,3.13,9.8,0
0.067,150.0,0.995,3.36,9.8,0
0.062,173.0,0.9917,3.35,11.7,0
0.068,124.0,0.9914,3.34,11.0,1
0.057,82.0,0.991,3.32,10.9,1
0.045,108.0,0.9911,3.31,10.9,0
0.147,132.0,0.993,3.05,9.1,0
0.039,191.0,0.9908,3.13,11.0,0
0.043,213.0,0.9962,3.09,9.6,0
0.048,147.0,0.9972,3.3,8.9,0
0.044,78.0,0.9931,3.11,10.2,0
0.038,111.0,0.9926,3.36,9.9,0
0.092,123.0,0.9951,3.03,8.6,0
0.048,147.0,0.9972,3.3,8.9,0
0.035,151.0,0.991,3.02,10.5,0
0.044,78.0,0.9931,3.11,10.2,0
0.038,122.0,0.9927,3.15,10.3,0
0.064,120.0,0.9934,3.22,9.1,0
0.04,124.0,0.9903,3.22,12.6,1
0.041,174.0,0.992,3.14,9.8,0
0.046,96.0,0.9926,3.33,10.7,1
0.05,105.0,0.9962,3.13,9.5,0
0.056,244.0,0.9956,3.1,9.0,0
0.061,238.5,0.9958,3.32,9.5,0
0.063,201.0,0.9964,3.69,10.0,0
0.054,72.0,0.9941,2.95,9.1,0
0.046,96.0,0.9926,3.33,10.7,1
0.05,105.0,0.9962,3.13,9.5,0
0.043,87.0,0.9898,3.26,12.7,1
0.042,69.0,0.9912,3.31,12.0,1
0.064,103.0,0.9961,2.94,9.3,0
0.06,105.0,0.9949,3.27,9.0,0
0.053,114.0,0.9929,3.39,10.6,0
0.05,166.0,0.9985,3.21,9.2,0
0.063,164.0,0.9946,3.17,10.0,0
0.047,207.0,0.9966,3.33,9.5,0
0.045,155.0,0.9974,3.11,8.7,0
0.044,152.0,0.9975,3.12,8.7,0
0.044,156.0,0.9974,3.09,8.7,0
0.05,202.0,0.9972,3.22,9.7,0
0.045,155.0,0.9974,3.11,8.7,0
0.044,152.0,0.9975,3.12,8.7,0
0.044,156.0,0.9974,3.09,8.7,0
0.049,243.0,0.9957,3.12,9.0,0
0.035,136.0,0.99,3.26,12.6,1
0.034,136.0,0.9899,3.25,12.6,1
0.04,148.0,0.9916,3.21,11.5,1
0.044,240.0,0.9969,3.04,9.2,0
0.046,164.0,0.9979,3.14,8.8,0
0.034,80.0,0.9913,2.95,11.4,1
0.038,83.0,0.9956,2.89,10.1,0
0.046,164.0,0.9979,3.14,8.8,0
0.06,192.0,0.9975,3.0,9.1,0
0.054,162.0,0.9962,3.4,9.4,0
0.05,164.0,0.997,3.34,9.4,0
0.059,170.0,1.0,2.99,9.0,0
0.06,192.0,0.9975,3.0,9.1,0
0.051,109.0,0.9974,3.2,9.2,0
0.054,162.0,0.9962,3.4,9.4,0
0.04,171.0,0.999,3.16,9.1,0
0.04,171.0,0.999,3.16,9.1,0
0.051,187.0,0.9927,3.27,10.3,0
0.082,163.0,0.9959,2.89,8.8,0
0.052,255.0,1.0,3.04,8.9,0
0.056,195.0,0.9982,3.01,9.2,0
0.049,150.0,0.9968,3.22,9.1,0
0.049,150.0,0.9968,3.22,9.1,0
0.065,103.0,0.994,3.63,9.7,0
0.041,143.0,0.9914,3.31,11.3,0
0.035,85.0,0.9911,3.19,11.8,0
0.056,195.0,0.9982,3.01,9.2,0
0.06,196.0,0.9982,3.04,9.2,0
0.046,87.0,0.9934,3.22,10.2,0
0.054,138.0,0.9984,3.01,8.8,0
0.059,131.0,0.9952,3.29,9.7,0
0.058,146.0,0.9952,3.29,9.1,0
0.092,158.0,0.9928,3.21,9.8,0
0.026,143.0,0.9912,3.27,11.0,0
0.033,126.0,0.994,3.14,10.5,0
0.038,203.0,0.9958,3.45,9.7,1
0.044,179.0,0.9924,3.3,10.9,1
0.046,184.0,0.9924,3.31,10.9,0
0.02,57.0,0.994,3.39,10.6,0
0.038,203.0,0.9958,3.45,9.7,1
0.038,241.0,0.9979,3.23,9.0,0
0.035,188.0,0.9982,3.24,9.2,0
0.034,203.0,0.9961,3.19,8.9,0
0.036,179.0,0.9979,3.26,9.6,0
0.027,121.0,0.992,3.12,10.7,0
0.045,155.0,0.9975,3.16,8.7,0
0.035,96.0,0.9917,3.15,10.8,1
0.029,79.0,0.9923,3.23,11.8,0
0.045,77.0,0.9927,3.3,10.2,0
0.045,155.0,0.9975,3.16,8.7,0
