track_id,track_name,track_artist,track_album_release_date,track_duration_ms,sound_danceability,sound_energy,sound_key,sound_loudness,sound_mode,sound_speechiness,sound_acousticness,sound_instrumentalness,sound_liveness,sound_valence,sound_tempo,genre_edm,genre_latin,genre_pop,genre_rnb,genre_rap,genre_rock,has_listenership
1iTZnsVqhCBdZqp9gjITDB,Run To You,Code 64,2006-06-16,267747,0.445,0.999,0,-5.627,1,0.0629,0.000383,0.218,0.0534,0.195,139.996,0,0,1,0,0,0,0
42LiXQn3xibOEodtBMoJp3,Drop The Bomb On 'Em,Eminem,2009-05-15,287267,0.892,0.693,11,-4.048,0,0.215,0.0277,0.0,0.123,0.357,91.989,0,0,0,0,1,0,0
2cTGafydY9vdnqJQ2Gw6t8,Butterflies,Myon,2018-06-22,234375,0.539,0.912,7,-3.113,1,0.0454,0.111,0.0,0.252,0.233,128.016,1,0,0,0,0,0,0
2boJnT3S2aSBagFEUTXrfx,Get Your Roll On,Big Tymers,2007-01-01,245200,0.849,0.812,7,-5.005,1,0.111,0.0111,0.0017,0.109,0.454,88.93,0,0,0,0,1,0,0
5HzekjQF7xLqBVeynqprDk,By Your Side,Ballin Entertainment,2008-04-20,198165,0.802,0.823,3,-9.799,0,0.0776,0.351,1.34e-06,0.264,0.964,130.771,0,1,0,0,0,0,0
1xEOoCGmv8rotFDo7n8GAg,Power,Hardwell,2017-09-22,148837,0.49,0.907,5,-4.063,0,0.108,0.000427,0.0,0.116,0.21,132.057,1,0,0,0,0,0,0
6FqH28raIkXVlcHDUvlEzA,This Is Dirty - Original Mix,DVBBS,2014-04-28,295781,0.456,0.905,7,-1.405,0,0.0737,0.000263,0.899,0.0954,0.084,128.078,1,0,0,0,0,0,0
2h1rjzw90ZeMgbzOHJFHao,What If I Was Nothing,All That Remains,2012-11-06,277360,0.434,0.768,4,-5.824,1,0.0375,0.00632,0.0,0.0939,0.221,143.993,0,0,0,0,0,1,0
6fvB2ft8IylK1coIewMPe1,Clarity - Brillz Remix,Zedd,2013-01-01,357480,0.667,0.858,5,-7.062,0,0.0533,0.017,0.00366,0.177,0.354,140.024,0,0,0,0,1,0,0
7IBhpjoLxBO2oiNjny9ie4,Try Me,T.K. Soul,2007-01-01,305987,0.654,0.607,7,-4.64,0,0.0283,0.109,0.0,0.177,0.698,83.975,0,0,0,0,1,0,0
2nvUC76Xju4HuqIFXeiCyI,Sturmmaske Auf [Intro],Kollegah,2017-09-28,232854,0.422,0.738,3,-4.955,0,0.393,0.105,0.0,0.109,0.367,92.17,0,0,0,0,1,0,0
5tlrEiYWEl0fsa6OFoV5EI,25 Lighters,DJ DMD,1998,288853,0.826,0.638,1,-6.371,0,0.258,0.00564,0.0,0.414,0.699,167.848,0,0,0,0,1,0,0
7FrQfROirwZQH9YPskADJA,3 Strikes,Terror Jr,2016-04-05,175901,0.778,0.404,2,-7.218,0,0.0459,0.623,0.019,0.105,0.66,80.502,1,0,0,0,0,0,0
0Ytt4H5qlnmqJMHhJ8YI13,Sixteen,Rick Ross,2012-01-01,495573,0.631,0.631,2,-7.239,1,0.0856,0.0159,0.0,0.231,0.12,86.98,0,0,0,0,1,0,0
6pkttXoVimxUSMFbQb52e2,Learn to Fly (feat. Jordan Rakei),FKJ,2014-07-21,268171,0.645,0.622,5,-8.215,0,0.0456,0.182,0.753,0.0769,0.377,87.036,0,0,0,1,0,0,0
6L74kj2KFdwfdLXTqyNvDN,Wanda Nara,Duki Y Neo Pistea,2017-10-29,157309,0.661,0.619,1,-6.722,0,0.0629,0.704,1.04e-05,0.0987,0.38,151.954,0,0,0,0,1,0,0
0mAkTqg7vQ8YmpQ7o1I6gR,LeBron,Duki,2019-01-01,213618,0.703,0.376,6,-17.772,0,0.0752,0.278,0.0,0.054,0.65,140.015,0,0,0,0,1,0,0
1CyCmgz0gm4AjvLE7JUYRm,Lonely Days - Remastered Version,Bee Gees,1973-08-01,228173,0.3,0.409,10,-7.323,1,0.0336,0.645,0.000155,0.402,0.304,78.074,0,0,0,0,0,1,0
3ER2b5TBR4XRx9DHiZJ484,Your Disease,Saliva,2001-01-01,237493,0.38,0.962,6,-2.946,1,0.084,1.02e-05,0.898,0.346,0.5,159.898,0,0,0,0,0,1,0
7kInKptdDDvadBzmos1LUH,Dance Again,Jennifer Lopez,2012-05-18,236573,0.799,0.864,11,-5.244,0,0.0702,0.0185,3.76e-06,0.0962,0.679,127.99,0,1,0,0,0,0,0
4DTLlMqz8grnPEQZL0DzfE,Summertime,Sam Cooke,2003,140307,0.647,0.328,6,-12.065,0,0.0323,0.737,1.37e-05,0.13,0.395,120.73,0,0,0,1,0,0,0
3OKdgFt9VxoUYpUXPGqowk,Presidential,Rick Ross,2012-01-01,249147,0.466,0.777,2,-4.432,1,0.233,0.126,0.0,0.0772,0.191,163.964,0,0,0,0,1,0,0
4KtzrgVnGCIOW0S1Lo2mwD,Flawless - Radio Edit,The Ones,2001-01-01,190693,0.721,0.935,7,-6.691,1,0.111,0.0102,0.748,0.212,0.878,125.068,1,0,0,0,0,0,0
5AEpL2aTZjujDxsBlelQAa,Blocka,Pusha T,2013-03-22,214667,0.803,0.522,1,-5.971,1,0.111,0.0232,0.0,0.108,0.189,127.943,0,0,0,1,0,0,0
3t343ArThcwgLwNEnabI2I,I Won't Back Down,Tom Petty,2008-01-01,175600,0.765,0.726,7,-5.943,1,0.0308,0.0258,1.68e-05,0.213,0.963,113.982,0,0,0,0,0,1,0
2REGtB7mzeH3GmzpCUPJRj,Me And Those Dreamin' Eyes Of Mine - Radio Edit,D'Angelo,2008-01-01,255533,0.592,0.524,4,-6.613,0,0.154,0.711,1.79e-06,0.135,0.551,86.827,0,0,0,1,0,0,0
0gDh8XfKdq9of5fxuyayq2,Crime Wave,50 Cent,2009-01-01,224533,0.675,0.897,9,-2.365,1,0.0841,0.000513,0.0,0.25,0.648,106.922,0,0,0,0,1,0,0
3De3KVdbrudp6xIThohCde,Dollars And Sense,DJ Quik,2001-05-01,353627,0.853,0.546,10,-8.647,0,0.233,0.00242,0.0,0.0993,0.441,98.872,0,0,0,0,1,0,0
79B7naQYN34s6lITPdToMQ,Jetlag,Mike Williams,2017-09-04,142521,0.659,0.946,1,-3.071,1,0.0504,0.0128,0.794,0.148,0.487,128.019,1,0,0,0,0,0,0
3fxETTPvwxkkpq3Ax2ZbcN,Devil's Keep,Tyler Bryant & the Shakedown,2015-11-13,265587,0.646,0.724,11,-5.383,1,0.0237,0.0531,0.000588,0.0597,0.328,103.394,0,0,0,0,0,1,0
2Y3eAKHXWZy5r88VEhIkL5,Bazooka - Original Mix,Firebeatz,2014-06-02,240000,0.577,0.833,0,-4.395,1,0.0545,0.00175,0.157,0.123,0.22,128.012,1,0,0,0,0,0,0
6iWnIObjnBMlaKgrAZgUA1,Vapormax,Duki,2019-03-19,112381,0.911,0.664,10,-8.514,0,0.0777,0.0291,0.0,0.129,0.8,125.972,0,0,0,0,1,0,0
2tVUhD4EtfOKb4n73BrIaq,Won't Do,J Dilla,2006-08-21,224343,0.774,0.704,1,-5.351,1,0.247,0.0876,0.0,0.193,0.586,94.109,0,0,0,1,0,0,0
4NO3hYYJudCN6MrcToFCos,Beautiful,Snoop Dogg,2002-01-01,298307,0.905,0.693,11,-6.418,0,0.131,0.234,0.0,0.0845,0.963,101.019,0,0,0,1,0,0,0
2DMBgcvj7IVzTxTNCSmgPo,Chuck Norris - Radio Edit,Kongsted,2013,175251,0.735,0.948,7,-5.503,1,0.059,0.000339,0.853,0.289,0.794,128.038,1,0,0,0,0,0,0
2HzMIJjLgXGbfSWzQlrKtZ,Sufrir,Javiera Mena,2010-09-01,225493,0.718,0.836,1,-5.28,1,0.0356,0.009,0.014,0.124,0.77,112.016,0,0,1,0,0,0,0
76IcyIbm2z4TJ7VjQ1tCkS,Who Are You - Single Edit,The Who,2008-07-07,299227,0.638,0.75,9,-7.659,1,0.043,0.198,0.00172,0.232,0.501,156.331,0,0,0,0,0,1,0
